"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
NA,"Lrrtm3",NA,"D11bwg0517e","Cobl","Bc030500","Cyp7b1",NA,"Fez1","Gria4","Kitlg","Anp32e"
NA,"Ltbp1",NA,"Camk2b","Zfp831","Rbp4","D030047h15Rik",NA,"Adap1","Nlgn3","Vwa1","Tubb4b"
NA,"Maff",NA,"Penk1","Spag5","Tcirg1","D630003m21Rik",NA,"Micall1","Rcan1","Cavin2","Gtse1"
NA,"Mgst3",NA,"Rgs4","Vmn2r85","Efemp2","D630033o11Rik",NA,"Rapgef4","Lrch4","Fzd6","Kif20b"
NA,"Mlc1",NA,"Lcp1","St6galnac3","Unc119","Dbx2",NA,"Mapk8ip1","Elfn2","Rflnb","Hjurp"
NA,"Mob3b",NA,"Cacna1b","Dkk3","Klf3","Dhrs4",NA,"Ugt8a","Itgav","Hspa12b","Cdca3"
NA,"Moxd1",NA,"Kcnc2","Pmpcb","Nrip2","Dhrs7",NA,"Hcn2","Kcnd2","Bcl6b","Hn1"
NA,"Mt3",NA,"Ttc9","Nol3","Ass1","Vps26c",NA,"Cers2","Pbk","Ppic","Cdc20"
NA,"Nampt",NA,"L1cam","Sema4a","Slc29a1","Dtna",NA,"Acot7","Ckap2l","Notum","Ttk"
NA,"Napepld",NA,"9130430l19Rik","Lrrc55","Pde9a","Dtx1",NA,"Tmbim1","Masp1","Cdc42ep3","Cdc25c"
NA,"Nckap5",NA,"Clstn2","Ildr2","Mcrip2","Dzip1l",NA,"Tbc1d9b","Klhl13","Slc35f2","Kif2c"
NA,"Nog",NA,"Napb","Ptk2b","Tspan2","E030003e18Rik",NA,"Agpat4","Adora1","N4bp3","Rangap1"
NA,"Nr4a1",NA,"Cyb561","Crhr1","Tsen34","Elmo2",NA,"Tspan2","Lypd1","Sox7","Ncapd2"
NA,"Nrg1",NA,"Cxadr","Rtn4r","Rab34","Elovl2",NA,"Dnajb2","Kctd15","Podxl","Dlgap5"
NA,"Palld",NA,"Hpca","Cacna2d1","Mrpl52","Epb4.1l5",NA,"Csrp1","Neto1","Col4a2","Cdca2"
NA,"Paqr8",NA,"Cnksr2","Dkkl1","Zbtb20","Ephx2",NA,"Acss2","Racgap1","Cavin1","Cdca8"
NA,"Pard3b",NA,"Unc13a","St6gal2","Tbkbp1","Exoc3l4",NA,"Gstp1","Adcy8","Apcdd1","Ect2"
NA,"Pax6",NA,"Meg3","Kctd4","Rasgrp2","Eya1",NA,"Abca2","Neto2","Bc028528","Kif23"
NA,"Pdgfd",NA,"C1qtnf4","Nr4a2","Endod1","Fabp7",NA,"Nr1i4","Cdca3","Lama4","Hmmr"
NA,"Phgdh",NA,"Cbln1","Tyro3","Erbin","Fam107a",NA,"Gas7","Zcchc24","Ctla2b","Aurka"
NA,"Plch1",NA,"Celf4","Grm2","Idh2","Fam161b",NA,"H2bc4","Lrrc4","Rgs5","Psrc1"
NA,"Pmp22",NA,"Rhov","Rbm24","Cerk","Fam181a",NA,"Ephb1","Mcm6","Acvrl1","Anln"
NA,"Pon2",NA,"Efna3","Ccdc88c","Ano4","Fam184a",NA,"Tubb3","Nuf2","Ecm1","Lbr"
